"VeerNXT — Indian Armed Forces: Tri-Service Branch, Trade Count & Complete Trade Names",,,,
Indian Army (25 Arms/Corps)  |  Indian Navy (10 Branches)  |  Indian Air Force (12 Branches)  |  All trade names listed in full,,,,
,,,,
S.No,Branch / Arm / Corps,Service,"No. of
Trades",All Trade Names
  ◆  INDIAN ARMY,,,,
      — COMBAT ARMS —,,,,
1,INFANTRY,Indian Army,14,"1. Rifleman (Rifle/LMG)
2. MMG / HMG Gunner
3. Grenadier / UGL Operator
4. ATGM Operator
5. Rocket Launcher Operator
6. Sniper
7. Signaller (Infantry)
8. Pioneer (Infantry)
9. Stretcher Bearer / Combat Medic
10. Mortar Operator
11. MANPADS Operator
12. Recce Trooper
13. Dog Handler (Infantry)
14. Parachutist"
2,MECHANISED INFANTRY,Indian Army,10,"1. IFV Commander
2. IFV Gunner
3. IFV Driver
4. IFV Radio Operator / Loader
5. Rifleman (Mech Inf)
6. LMG Gunner (Mech Inf)
7. ATGM Operator (Mech Inf)
8. Signaller (Mech Inf)
9. Sniper (Mech Inf)
10. Combat Medic (Mech)"
3,ARMOURED CORPS,Indian Army,11,"1. Tank Commander
2. Tank Gunner
3. Tank Driver
4. Tank Loader
5. Tank Radio Operator
6. Reconnaissance Trooper
7. Signals Operator (Armoured)
8. NBC Operator
9. Recovery Operator
10. 61st Cavalry Trooper
11. Farrier (61st Cavalry)"
4,ARTILLERY,Indian Army,11,"1. Gunner (Field Artillery)
2. Gunner (Self-Propelled)
3. Rocket Launcher Operator (MBRL)
4. Survey Instrument Mechanic (SIM)
5. Sound Ranger
6. Radar Operator (Met)
7. Fire Control Computer Operator
8. Signaller (Artillery)
9. FOO Signaller
10. Ammunition Handler
11. Driver (Artillery)"
5,AIR DEFENCE ARTILLERY,Indian Army,10,"1. Missile Operator (Akash SAM)
2. Missile Operator (Spyder)
3. MANPADS Operator (Igla-S)
4. Gun Operator (L70 Bofors AD)
5. Gun Operator (ZU-23-2)
6. Radar Operator (AD)
7. AD Control and Reporting Operator
8. IFF Operator
9. Missile Technician
10. Electronics Mechanic (AD)"
6,ARMY AVIATION CORPS,Indian Army,10,"1. Aviation Mechanic (Engine)
2. Aviation Mechanic (Airframe)
3. Avionics Technician
4. ATC Operator (Army Aviation)
5. Ground Crew / Marshaller
6. Air Despatch Rigger
7. Parachute Packer
8. Armament Mechanic (Aviation)
9. Flight Line Mechanic
10. Crash Rescue Crew"
7,SPECIAL FORCES,Indian Army,11,"1. Special Forces Operator (Para SF)
2. Combat Diver
3. HAHO / HALO Parachutist
4. Sniper (SF)
5. EOD Operator
6. Communications Operator (SF)
7. Combat Medic (SF)
8. Mountain Specialist
9. Jungle Warfare Specialist
10. CQB Instructor
11. Dog Handler (SF)"
8,CORPS OF ENGINEERS,Indian Army,13,"1. Combat Engineer
2. Construction Engineer
3. Bridge Builder / Pontoon Operator
4. IED Disposal / EOD Operator
5. Mine Clearance Operator
6. Survey Instrument Mechanic
7. Draughtsman
8. Water Purification Operator
9. Diver (Military)
10. NBC / CBRN Operator
11. Electrician (Engineers)
12. Carpenter
13. Air Field Construction Specialist"
9,CORPS OF SIGNALS,Indian Army,11,"1. Radio Operator (Signaller)
2. Lineman (Field Telephone)
3. Cable Layer (OFC)
4. Cipher Operator
5. IT Operator / Network Admin
6. SATCOM Operator
7. Electronic Warfare Operator
8. Telecom Mechanic
9. Microwave Communication Operator
10. Troposcatter Operator
11. Cyber Operator"
      — COMBAT SUPPORT AND COMBAT SERVICE SUPPORT ARMS —,,,,
10,ARMY SERVICE CORPS (ASC),Indian Army,11,"1. Driver MT (HMV)
2. Driver MT (LMV)
3. Driver MT (MHE)
4. Supply Assistant
5. POL Operator
6. Air Despatch Porter
7. Baker
8. Cook
9. Butcher
10. Water Tanker Operator
11. Stores Keeper (ASC)"
11,ARMY ORDNANCE CORPS (AOC),Indian Army,8,"1. Storekeeper Tech (General)
2. Storekeeper Tech (Ammunition)
3. Armament Artificer (Small Arms)
4. Armament Artificer (Crew-Served)
5. Armament Artificer (Missiles)
6. Vehicle Stores Operator
7. Computer Operator (AOC)
8. Draughtsman (AOC)"
12,ELECTRICAL AND MECHANICAL ENGINEERS (EME),Indian Army,10,"1. Artificer (Automobile)
2. Artificer (Tracked / AFV)
3. Artificer (Armament)
4. Artificer (Electronics)
5. Artificer (Aviation)
6. Artificer (Instrument)
7. Metalsmith / Welder
8. Machinist
9. Generator Mechanic
10. Recovery Mechanic"
13,ARMY MEDICAL CORPS (AMC),Indian Army,9,"1. Nursing Assistant (NA)
2. Pharmacist / Dispenser
3. Laboratory Technician
4. Radiographer
5. Dresser (Field Surgical)
6. Physiotherapy Assistant
7. Stretcher Bearer
8. Ambulance Driver
9. Sanitary Inspector / Hygiene Tech"
14,ARMY DENTAL CORPS (ADC),Indian Army,5,"1. Dental Technician (Prosthetics)
2. Dental Assistant
3. Dental Hygienist
4. Dental Lab Tech (Orthodontics)
5. Radiographer (Dental / OPG)"
15,REMOUNT AND VETERINARY CORPS (RVC),Indian Army,7,"1. Muleteer / Mule Handler
2. Dog Handler
3. Horse Handler / Rider
4. Veterinary Assistant
5. Farrier
6. Meat Inspector
7. Kennel Master"
16,MILITARY NURSING SERVICE (MNS),Indian Army,6,"1. Note: All-Officer All-Women Corps — No Enrolled Soldiers
2. General Duty Nursing Officer
3. ICU / Critical Care Nurse
4. OT Scrub Nurse
5. Psychiatric Nurse
6. Military Nursing Tutor"
17,ARMY EDUCATION CORPS (AEC),Indian Army,5,"1. Education Havildar
2. Instructor (Vocational)
3. Education Specialist
4. Library Assistant
5. Sports Instructor"
18,INTELLIGENCE CORPS,Indian Army,7,"1. Intelligence Operator (HUMINT)
2. DOCEX Analyst
3. IMINT Analyst
4. SIGINT Operator
5. Counter Intelligence Operator
6. Interrogation Specialist
7. Language Specialist / Interpreter"
19,JUDGE ADVOCATE GENERAL'S DEPT (JAG),Indian Army,3,"1. Note: All-Officer Legal Branch — No Enlisted Soldiers
2. Military Law Specialist
3. Legal Aid Officer"
20,ARMY POSTAL SERVICE (APS),Indian Army,5,"1. Postal Assistant
2. Field Post Office (FPO) Operator
3. Dispatch Rider (Postal)
4. Money Order Processor
5. Parcel Handler"
21,PIONEER CORPS,Indian Army,5,"1. Pioneer (General Duties)
2. Pioneer (Construction)
3. Pioneer (Quarry Operator)
4. Pioneer (Earth Moving Equipment Operator)
5. Pioneer Section Commander"
22,DEFENCE SECURITY CORPS (DSC),Indian Army,4,"1. Security Guard (Armed)
2. Security Guard (Unarmed)
3. Dog Handler (DSC)
4. Security Supervisor / JCO"
23,CORPS OF MILITARY POLICE (CMP),Indian Army,8,"1. Military Policeman (Provost)
2. Traffic Controller
3. SIB Investigator
4. POW Guard
5. Military Prison Staff
6. Close Protection Officer (CPO)
7. Dog Handler (CMP)
8. Port / Rail / Air Embarkation NCO"
24,ARMY PAY CORPS (APC),Indian Army,6,"1. Pay Accountant
2. Audit Clerk
3. Pension Processing Clerk
4. Pay Accounts Clerk
5. Computer Operator (Pay)
6. Cashier"
25,REMOUNT TRAINING CENTRE,Indian Army,6,"1. Riding Instructor
2. Horse Trainer / Breaker
3. Mule Trainer
4. Equestrian Sports Trainer
5. Farrier (RTC)
6. Polo Groom"
,,,,
  ◆  INDIAN NAVY,,,,
1,EXECUTIVE BRANCH (Seamen Branch),Indian Navy,11,"1. Seaman (General Service)
2. Quartermaster (QM)
3. Signalman (Visual Communication)
4. Regulating Petty Officer
5. Physical Training Instructor (PTI)
6. Cook (General Service)
7. Steward
8. Canteen Manager
9. Dhobi (Laundry)
10. Writer (Clerk)
11. Stores Assistant"
2,COMMUNICATIONS BRANCH,Indian Navy,8,"1. Radio Operator (Communication)
2. Tele-Communication Mechanic (TCM)
3. Radar Plotter
4. Electronic Warfare (EW) Operator
5. Cipher Operator
6. Satellite Communication (SATCOM) Operator
7. Communication Instructor
8. Tele-Communication Artificer"
3,ENGINEERING BRANCH (Marine Engineering),Indian Navy,12,"1. Mechanician / Engine Room Artificer (ERA)
2. Electrical Artificer (EA)
3. Weapon Electrical Artificer (WEA)
4. Damage Control Operator
5. Refrigeration & Air Conditioning Mechanic (RACM)
6. Shipwright
7. Blacksmith / Welder (Navy)
8. Machinery Control Room (MCR) Operator
9. Boiler Mechanic
10. Hull Maintenance Technician
11. Nuclear Propulsion Operator (INS Arihant/Arighat)
12. Diesel Engine Mechanic"
4,WEAPON BRANCH (Seaman Specialist / Gunnery),Indian Navy,10,"1. Gunner (Naval)
2. Missile Operator
3. Torpedo Operator
4. Anti-Submarine Warfare (ASW) Operator
5. Mine Warfare Operator
6. Diver (Naval)
7. Guided Missile Technician
8. Ordnance Artificer (OA)
9. Fire Control Operator
10. NBC Defence Operator"
5,NAVAL AIR ARM (Aviation Branch),Indian Navy,10,"1. Aircraft Mechanic (Airframe)
2. Aircraft Mechanic (Engine)
3. Aircraft Mechanic (Avionics)
4. Air Traffic Control (ATC) Operator
5. Aircraft Handler / Marshaller
6. Flight Deck Operator (INS Vikrant/Vikramaditya)
7. Observer (Air)
8. Aircraft Armament Technician
9. Meteorological Observer (Naval)
10. Air Stores Accountant"
6,SUBMARINE BRANCH,Indian Navy,10,"1. Submarine Operator (General)
2. Submarine Sonar Operator
3. Torpedo Tube Operator
4. Submarine Electrical Artificer
5. Submarine Engine Room Artificer (ERA)
6. Submarine Navigation Operator
7. Submarine Life Support Operator
8. Submarine Communication Operator
9. Submarine Diver
10. Submarine Weapons Artificer"
7,NAVAL MEDICAL BRANCH,Indian Navy,8,"1. Sick Berth Attendant (SBA)
2. Laboratory Technician (Naval)
3. Pharmacist (Naval)
4. Radiographer (Naval)
5. Dental Technician (Naval)
6. Dental Assistant (Naval)
7. Physiotherapy Assistant (Naval)
8. Medical Stores Assistant"
8,SURVEY BRANCH (Hydrographic),Indian Navy,5,"1. Survey Recorder
2. Hydrographic Surveyor
3. Oceanographic Observer
4. Draftsman (Survey)
5. Survey Stores Accountant"
9,NAVAL EDUCATION & METEOROLOGY,Indian Navy,5,"1. Instructor (Naval Education)
2. Meteorological Observer (Shore)
3. Physical Training Instructor (Naval)
4. Writer / Accountant (Pay)
5. Legal Assistant (JAG Support)"
10,INDIAN COAST GUARD (Aligned with Navy),Indian Navy,6,"1. Navik (General Duty)
2. Navik (Domestic Branch)
3. Yantrik (Mechanical)
4. Yantrik (Electrical)
5. Yantrik (Electronics)
6. Rescue Swimmer"
,,,,
  ◆  INDIAN AIR FORCE,,,,
1,FLYING BRANCH,Indian Air Force,7,"1. Pilot (Fighter)
2. Pilot (Transport)
3. Pilot (Helicopter)
4. Navigator / Weapons Systems Operator (WSO)
5. Flight Engineer (Transport)
6. Air Traffic Controller (ATC) — Officer
7. Meteorological Officer"
2,GROUND DUTY TECHNICAL (Airmen),Indian Air Force,15,"1. Airman (Air Engine Fitter)
2. Airman (Airframe Fitter)
3. Airman (Instrument Fitter)
4. Airman (Armament Fitter)
5. Airman (Avionics / Electrical Fitter)
6. Airman (Radio Fitter)
7. Airman (Radar Fitter)
8. Airman (Safety Equipment Fitter)
9. Airman (MT Fitter)
10. Airman (Workshop Fitter)
11. Airman (Electrical Fitter — Ground)
12. Airman (ECM / EW Fitter)
13. Airman (Parachute Packer / Rigger)
14. Airman (Air Traffic Control — Enlisted)
15. Airman (MT Driver)"
3,GROUND DUTY NON-TECHNICAL (Admin / Logistics),Indian Air Force,9,"1. Airman (Administration / Clerk)
2. Airman (Accounts)
3. Airman (Stores — General)
4. Airman (Stores — Technical)
5. Airman (Secretariat / Stenographer)
6. Airman (Education Instructor)
7. Airman (Legal Clerk)
8. Airman (Intelligence)
9. Airman (Photographer / Imagery)"
4,IAF MEDICAL BRANCH (Airmen),Indian Air Force,8,"1. Airman (Medical Assistant)
2. Airman (Laboratory Technician)
3. Airman (Pharmacist)
4. Airman (Radiographer)
5. Airman (Dental Technician)
6. Airman (Physiotherapy Assistant)
7. Airman (Aviation Medicine Technician)
8. Airman (Ambulance Driver / Medical)"
5,METEOROLOGY BRANCH (Airmen),Indian Air Force,4,"1. Airman (Meteorological Observer)
2. Airman (Meteorological Technician)
3. Airman (Radar Meteorologist — Support)
4. Airman (Meteorological Plotter)"
6,IAF REGIMENT (Ground Defence),Indian Air Force,9,"1. Airman (Regiment — Rifleman)
2. Airman (Regiment — LMG Gunner)
3. Airman (Regiment — MANPADS Operator)
4. Airman (Regiment — Radar Operator)
5. Airman (Regiment — Dog Handler)
6. Airman (Regiment — Communication Operator)
7. Airman (Regiment — Fire Control Operator)
8. Airman (Regiment — NBC Operator)
9. Airman (Regiment — Intelligence Operator)"
7,IAF SIGNALS BRANCH,Indian Air Force,9,"1. Airman (Radar Operator — Ground)
2. Airman (Radio Operator — Ground)
3. Airman (Signals — Telecom Mechanic)
4. Airman (Air Defence Radar Plotter)
5. Airman (SATCOM Operator)
6. Airman (Microwave / Troposcatter)
7. Airman (EW — Ground)
8. Airman (Computer Operator — ATC Systems)
9. Airman (Encryption / Cipher Operator)"
8,IAF EDUCATION BRANCH,Indian Air Force,5,"1. Airman (Education Instructor — Technical)
2. Airman (Education Instructor — Non-Technical)
3. Airman (Physical Training Instructor)
4. Airman (Library Assistant)
5. Airman (Audio Visual Technician)"
9,IAF FIRE SERVICES,Indian Air Force,4,"1. Airman (Fire Fighter / Crash Rescue)
2. Airman (Fire Fighting Mechanic)
3. Airman (Fire Fighting Operator)
4. Airman (Fire Alarm Technician)"
10,IAF PIONEER & WORKS SERVICES,Indian Air Force,5,"1. Airman (Pioneer)
2. Airman (Works — Electrical)
3. Airman (Works — Civil / Construction)
4. Airman (Works — Air Conditioning / Refrigeration)
5. Airman (Generator / DG Set Operator)"
11,IAF CATERING BRANCH,Indian Air Force,5,"1. Airman (Cook)
2. Airman (Steward)
3. Airman (Mess Manager)
4. Airman (Butcher)
5. Airman (Baker)"
12,IAF MUSIC BRANCH (Bands),Indian Air Force,4,"1. Airman (Musician — Wind)
2. Airman (Musician — Percussion)
3. Airman (Musician — Brass)
4. Airman (Drum Major)"
,,,,
,,,,
  TOTAL — INDIAN ARMY (25 Arms/Corps),,,,206
  TOTAL — INDIAN NAVY (10 Branches),,,,85
  TOTAL — INDIAN AIR FORCE (12 Branches),,,,84
  GRAND TOTAL — ALL THREE SERVICES,,,,375